v1	V(n002)	I(D1)
-2.410000000000055e+000	-2.409997e+000	-2.522410e-009
-2.400000000000055e+000	-2.399997e+000	-2.522400e-009
-2.390000000000056e+000	-2.389997e+000	-2.522390e-009
-2.380000000000056e+000	-2.379997e+000	-2.522381e-009
-2.370000000000056e+000	-2.369998e+000	-2.522370e-009
-2.360000000000056e+000	-2.359998e+000	-2.522360e-009
-2.350000000000057e+000	-2.349998e+000	-2.522350e-009
-2.340000000000057e+000	-2.339998e+000	-2.522340e-009
-2.330000000000057e+000	-2.329998e+000	-2.522331e-009
-2.320000000000057e+000	-2.319998e+000	-2.522320e-009
-2.310000000000057e+000	-2.309998e+000	-2.522310e-009
-2.300000000000058e+000	-2.299998e+000	-2.522300e-009
-2.290000000000058e+000	-2.289998e+000	-2.522290e-009
-2.280000000000058e+000	-2.279998e+000	-2.522281e-009
-2.270000000000058e+000	-2.269998e+000	-2.522270e-009
-2.260000000000058e+000	-2.259997e+000	-2.522260e-009
-2.250000000000059e+000	-2.249997e+000	-2.522250e-009
-2.240000000000059e+000	-2.239997e+000	-2.522241e-009
-2.230000000000059e+000	-2.229997e+000	-2.522230e-009
-2.220000000000059e+000	-2.219997e+000	-2.522220e-009
-2.210000000000060e+000	-2.209997e+000	-2.522210e-009
-2.200000000000060e+000	-2.199997e+000	-2.522200e-009
-2.190000000000060e+000	-2.189997e+000	-2.522191e-009
-2.180000000000060e+000	-2.179997e+000	-2.522180e-009
-2.170000000000060e+000	-2.169997e+000	-2.522170e-009
-2.160000000000061e+000	-2.159997e+000	-2.522160e-009
-2.150000000000061e+000	-2.149997e+000	-2.522150e-009
-2.140000000000061e+000	-2.139997e+000	-2.522140e-009
-2.130000000000061e+000	-2.129997e+000	-2.522130e-009
-2.120000000000061e+000	-2.119998e+000	-2.522120e-009
-2.110000000000062e+000	-2.109998e+000	-2.522110e-009
-2.100000000000062e+000	-2.099998e+000	-2.522100e-009
-2.090000000000062e+000	-2.089998e+000	-2.522091e-009
-2.080000000000062e+000	-2.079998e+000	-2.522080e-009
-2.070000000000063e+000	-2.069998e+000	-2.522070e-009
-2.060000000000063e+000	-2.059998e+000	-2.522060e-009
-2.050000000000063e+000	-2.049998e+000	-2.522050e-009
