x-axis,1,2,MATH
second,Volt,Volt,Volt
-1.200000E-03,-109.375000E-03,-159.531593E-03,-53.356171E-03
-1.195000E-03,-93.750000E-03,-140.000343E-03,-53.356171E-03
-1.190000E-03,-78.125000E-03,-130.234718E-03,-57.262421E-03
-1.185000E-03,-62.500000E-03,-120.469093E-03,-61.168671E-03
-1.180000E-03,-42.968750E-03,-100.937843E-03,-61.168671E-03
-1.175000E-03,-27.343750E-03,-91.172218E-03,-65.074921E-03
-1.170000E-03,-11.718750E-03,-71.640968E-03,-65.074921E-03
-1.165000E-03,+3.906250E-03,-52.109718E-03,-65.074921E-03
-1.160000E-03,+23.437500E-03,-42.344093E-03,-68.981171E-03
-1.155000E-03,+39.062500E-03,-22.812843E-03,-65.074921E-03
-1.150000E-03,+54.687500E-03,-13.047218E-03,-68.981171E-03
-1.145000E-03,+70.312500E-03,+6.484032E-03,-72.887421E-03
-1.140000E-03,+85.937500E-03,+16.249657E-03,-72.887421E-03
-1.135000E-03,+101.562500E-03,+26.015282E-03,-76.793671E-03
-1.130000E-03,+121.093750E-03,+45.546532E-03,-80.699921E-03
-1.125000E-03,+136.718750E-03,+65.077782E-03,-80.699921E-03
-1.120000E-03,+156.250000E-03,+74.843407E-03,-84.606171E-03
-1.115000E-03,+171.875000E-03,+94.374657E-03,-80.699921E-03
-1.110000E-03,+187.500000E-03,+113.905907E-03,-80.699921E-03
-1.105000E-03,+203.125000E-03,+133.437157E-03,-80.699921E-03
-1.100000E-03,+222.656250E-03,+152.968407E-03,-76.793671E-03
-1.095000E-03,+238.281250E-03,+162.734032E-03,-76.793671E-03
-1.090000E-03,+257.812500E-03,+182.265282E-03,-76.793671E-03
-1.085000E-03,+273.437500E-03,+201.796532E-03,-72.887421E-03
-1.080000E-03,+289.062500E-03,+221.327782E-03,-76.793671E-03
-1.075000E-03,+304.687500E-03,+231.093407E-03,-72.887421E-03
-1.070000E-03,+316.406250E-03,+250.624657E-03,-68.981171E-03
-1.065000E-03,+332.031250E-03,+270.155907E-03,-68.981171E-03
-1.060000E-03,+347.656250E-03,+289.687157E-03,-68.981171E-03
-1.055000E-03,+367.187500E-03,+309.218407E-03,-65.074921E-03
-1.050000E-03,+378.906250E-03,+318.984032E-03,-61.168671E-03
-1.045000E-03,+394.531250E-03,+338.515282E-03,-61.168671E-03
-1.040000E-03,+406.250000E-03,+358.046532E-03,-57.262421E-03
-1.035000E-03,+417.968750E-03,+367.812157E-03,-53.356171E-03
-1.030000E-03,+429.687500E-03,+387.343407E-03,-45.543671E-03
-1.025000E-03,+437.500000E-03,+406.874657E-03,-37.731171E-03
-1.020000E-03,+445.312500E-03,+426.405907E-03,-29.918671E-03
-1.015000E-03,+453.125000E-03,+436.171532E-03,-18.199921E-03
-1.010000E-03,+460.937500E-03,+455.702782E-03,-10.387421E-03
-1.005000E-03,+468.750000E-03,+475.234032E-03,-2.574921E-03
-1.000000E-03,+476.562500E-03,+484.999657E-03,+5.237579E-03
-995.000E-06,+480.468750E-03,+494.765282E-03,+13.050079E-03
-990.000E-06,+488.281250E-03,+514.296532E-03,+20.862579E-03
-985.000E-06,+492.187500E-03,+524.062157E-03,+28.675079E-03
-980.000E-06,+500.000000E-03,+543.593407E-03,+40.393829E-03
-975.000E-06,+503.906250E-03,+563.124657E-03,+52.112579E-03
-970.000E-06,+507.812500E-03,+572.890282E-03,+63.831329E-03
-965.000E-06,+511.718750E-03,+592.421532E-03,+75.550079E-03
-960.000E-06,+515.625000E-03,+611.952782E-03,+91.175079E-03
-955.000E-06,+515.625000E-03,+621.718407E-03,+102.893829E-03
-950.000E-06,+523.437500E-03,+641.249657E-03,+110.706329E-03
-945.000E-06,+523.437500E-03,+660.780907E-03,+126.331329E-03
-940.000E-06,+527.343750E-03,+670.546532E-03,+138.050079E-03
-935.000E-06,+531.250000E-03,+680.312157E-03,+149.768829E-03
-930.000E-06,+535.156250E-03,+699.843407E-03,+157.581329E-03
-925.000E-06,+535.156250E-03,+719.374657E-03,+173.206329E-03
-920.000E-06,+539.062500E-03,+729.140282E-03,+188.831329E-03
-915.000E-06,+542.968750E-03,+748.671532E-03,+200.550079E-03
-910.000E-06,+542.968750E-03,+768.202782E-03,+216.175079E-03
-905.000E-06,+546.875000E-03,+777.968407E-03,+231.800079E-03
-900.000E-06,+546.875000E-03,+797.499657E-03,+243.518829E-03
-895.000E-06,+550.781250E-03,+817.030907E-03,+259.143829E-03
-890.000E-06,+550.781250E-03,+826.796532E-03,+274.768829E-03
-885.000E-06,+554.687500E-03,+846.327782E-03,+286.487579E-03
-880.000E-06,+554.687500E-03,+865.859032E-03,+306.018829E-03
-875.000E-06,+558.593750E-03,+885.390282E-03,+321.643829E-03
-870.000E-06,+558.593750E-03,+904.921532E-03,+337.268829E-03
-865.000E-06,+562.500000E-03,+924.452782E-03,+352.893829E-03
-860.000E-06,+562.500000E-03,+934.218407E-03,+368.518829E-03
